data,label
무얼 믿은 걸까 부족했던 내게서 나 못 믿던 내게 여태 머문 사람 무얼 봤던 걸까 가진 것 없던 내게 무작정 내 손 잡아 날 이끈 사람 최고 였어 그대 눈 속 비친 내 모습 이제 내게서 그 댈 비춰줄게 궂 비 오면 세상 가장 큰 그대 우산 될게 그 댄 편히 걸어가요 걷다가 지치면 내 그대 안고 어디 갈게 이제 나 믿어요 나 두고 가던 나 스쳐 간 행운 모여 그대 되어서 내게 와 준 궂 비 오면 세상 가장 큰 그대 우산 될게 그 댄 편히 걸어가요 걷다가 지치면 내 그대 안고 어디 갈게 이제 나 믿어요 나 마지막 주인공 되어 다신 누구 앞 그대 고개 숙이지 마 내 보지 했던 홀로 고단 했던 시간 고맙고 미안해요 사랑 해요 이 세상 우리 두고 장난 했고 우린 속지 않은 이제 울 마 좋을 땐 밤새도록 맘껏 웃어요 전부 그대 꺼니까 그대 걱정 말아요 이제 나 믿어요,트로트
그대 사랑 나였음 좋겠다 것 필요 없어요 든든한 품 안겨 잠들고 싶어라 내 사랑 보금자리 것 바라지 않아요 당신 있으면 돼 한 눈 팔지 않고 사랑 할래요 돈 필요 없어 백도 필요 없어 당신 있으면 돼 그대 사랑 나였음 좋겠다 것 필요 없어요 든든한 품 안겨 잠들고 싶어라 내 사랑 보금자리 것 바라지 않아요 당신 있으면 돼 한 눈 팔지 않고 사랑 할래요 돈 필요 없어 백도 필요 없어 당신 있으면 돼 것 바라지 않아요 당신 있으면 돼 한 눈 팔지 않고 사랑 할래요 돈 필요 없어 백도 필요 없어 당신 있으면 돼 당신 있으면 돼,트로트
목적지 닿을 수 없다고 출발 할 수가 없나 가진 것 하나 없다고 꿈 꿀 수 없나 하나 인생 값 매기려 하고 일렬 종대 나란히 줄 세우려고만 하네 금수 저 흙 수저 나누고 가진 것 자랑 하기 바쁘고 다투고 내 인생 얼마 짜 리 값 몰라도 좋다 가슴 느끼니까 답 없어도 좋다 삶은 과정 일 뿐 따라 라라 라라라 랏다 오 춤 추자 따라 라라 라라라 랏다 난 노래 불러 보련 헤이 하나 작품 값 매길 수 없고 너 존재 그 자체 밝게 빛 나네 잔소리 한쪽 귀로 흘리고 쓸데없는 말 웃어 넘기고 남 일 신경 끄시고 네 인생 얼마 짜 리 값 몰라도 좋다 가슴 느끼니까 답 없어도 좋다 삶은 과정 일 뿐 따라 라라 라라라 랏다 오 춤 추자 따라 라라 라라라 랏다 난 노래 불러 보련 헤이,트로트
누가 누가 당신 맘 외롭게 합 누가 누가 당신 맘 눈물 주나요 바람결 떨어지는 꽃잎 여자 마음 내 품 안겨 걱정 말아요 영원히 지켜줄게요 애인 되어줄게요 애인 되어줄게요 가내 해줄게요 사랑 되어줄게요 사랑 되어주세요 내 당신 애인 되어줄게요 사연 없는 사람 있나 아픔 없을까 우연 만나는 게 사랑 것 반했어 마음 열어요 놓치면 후회 할 내 품 안겨 걱정 말아요 영원히 지켜줄게요 애인 되어줄게요 애인 되어줄게요 가내 해줄게요 사랑 되어줄게요 사랑 되어주세요 내 당신 애인 되어줄게요 내 당신 애인 되어줄게요,트로트
들어 봐 들어 봐 들어 봐 바 그래 넌 대체 뭘 그리 원해 Not again No Jam 고 정도 그만할래 더 말 해 뭐 해 한 번 족 해 더 이상은 돼 보여 봐 보여 봐 보여줘 봐 말로 자꾸 떠들면 뭐 해 Not a game No chance 우겨도 안될 건 돼 더 발악 해 봤자 별 수 없네 멈춰 서서 잠시 돌아볼래 어디 왔는지 What did you say 우길 걸 좀 우겨 수많은 사람 referee 가 되어 우릴 지켜보는데 Oh Dirty play 리 웃겨 그 시간 진실 를 밝혀주네 제발 우기 좀 마 적어 봐 적어 봐 적어 봐 바 자꾸만 잊어버리면 안 돼 Get away 손 떼 우겨도 안될 건 돼 더 발악 해 봤자 재미없네 눈 감고 한번 느껴 볼 뭐 옳은 일인 What did you say 우길 걸 좀 우겨 수많은 사람 referee 가 되어 우릴 지켜보는데 Oh Dirty play 리 웃겨 그 시간 진실 를 밝혀주네 제발 우기 좀 마 What did you say,트로트
이 나이 먹도록 세상 잘 모르나 보다 진심 다해 나 상처 주네 이 나이 먹도록 사람 잘 모르나 보다 사람 보여도 마음 보이질 않아 이 나이 되어서 당신 만나서 고맙소 고맙소 늘 사랑 오 술 취한 그날 밤 손등 눈물 떨굴 때 내 손 감싸며 괜찮아 울어 준 사람 세상 등 져도 나라 할 거 등 뒤 번지 던 눈물 참 뜨거웠소 이 나이 되어서 당신 만나서 고맙소 고맙소 늘 사랑 오 못 나를 만나서 긴 세월 고생 시킨 사람 이런 사람 미안하고 아픈 사람 나 당신 위해 살아가겠소 남겨진 세월 갑시다 고맙소 고맙소 늘 사랑 오 늘 사랑 오 고맙소 고맙소 늘 사랑 오,트로트
찐 찐 찐 찐 찐이야 완전 찐이야 진짜 나타났다 지금 찐 찐 찐 찐 찐이야 완전 찐이야 찐하게 사랑 할 요즘 가짜 많은 세상 믿을 사람 바로 당신 뿐 내 모든 걸 줘도 아깝지 않은 내 인생 전부 사람 끌리네 끌리네 자꾸 끌리네 쏠리네 쏠리네 자꾸 쏠리네 심장 훔쳐 간 사람 찐 찐 찐 찐 찐이야 완전 찐이야 진짜 나타났다 지금 찐 찐 찐 찐 찐이야 완전 찐이야 찐하게 사랑 할 찐이야 요즘 가짜 많은 세상 믿을 사람 바로 당신 뿐 내 모든 걸 줘도 아깝지 않은 내 인생 전부 사람 끌리네 끌리네 자꾸 끌리네 쏠리네 쏠리네 자꾸 쏠리네 심장 훔쳐 간 사람 찐 찐 찐 찐 찐이야 완전 찐이야 진짜 나타났다 지금 찐 찐 찐 찐 찐이야 완전 찐이야 찐하게 사랑 할 찐하게 찐하게 찐하게 찐하게 찐하게 사랑 할,트로트
어디 집 피곤해서 일찍 자려구 그래 잠깐 볼랬더 오늘 피곤했나 보네 자 끊어 니 니 왜 거기 나와 니 왜 거기 나와 사랑 믿었었는데 발등 찍혔네 그래 너 그래 너 너 니 왜 거기 나와 피곤하다 하길래 자라 했는데 혹시 아픈 건가 걱정 했는데 뭐 하는데 여기 뭐 하는데 도대체 집 연신내 난 지금 강남 시끄런 클럽 무심코 지나는데 이 누구 니 왜 거기 나와 니 왜 거기 나와 내 눈 의심 해보고 보고 또 보아 봐도 너 오마이 너 니 왜 거기 나와 니 왜 거기 나와 사랑 믿었었는데 발등 찍혔네 그래 너 그래 너 너 이런건 사랑 아냐 노 남자 싫다매 술 한다매 그것 땜 나 끊어 버렸는데 지금 넌 왜 혀 꼬이는 도대체 지금 니 옆 이 남잔 교회 오빠 클럽 왜 왔는데 너 집 불교 잖아 니 왜 거기 나와 니 왜 거기 나와 내 눈 의심 해보고 보고 또 보아 봐도 너 오마이 너 니 왜 거기 나와 니 왜 거기 나와 사랑 믿었었는데 발등 찍혔네 그래 너 그래 너 너 이런건 사랑 아냐 그래 너 그래 너 너 니 왜 거기 나와,트로트
허야듸 허야듸 허야듸 허야듸 허야듸 어촌 마을 어귀 서서 마을 평안함을 기원 하는 진또 배기 진또 배기 진또 배기 오리 마리 솟대 앉아 물 불 바람 막아주는 진또 배기 진또 배기 진또 배기 모진 비바람 견디며 바다 심술 막아주고 말 마을 지켜 온 진또 배기 진또 배기 허야듸 풍년 빌면서 년 내내 기원 하는 진또 배기 진또 배기 진또 배기 진또 배기 허야듸 허야듸 허야듸 허야듸 배 띄워라 노 저 파도 춤 춘다 노래 한다 진또 배기 진또 배기 진또 배기 진또 배기 허야듸 허야듸 허야듸 얼 쑤,트로트
당신 얼마나 내게 소중한 사람 세월 흐르고 보니 이제 알 것 같아요 당신 얼마나 내게 필요한 사람 세월 지나고 보니 이제 알 것 같아요 밤하늘 빛나는 별빛 같은 나 사랑 당신 나 영원한 사랑 사랑 해요 사랑 해요 날 믿고 따라 준 사람 고마워요 행복합니다 왜 눈물 밤하늘 빛나는 별빛 같은 나 사랑 당신 나 영원한 사랑 사랑 해요 사랑 해요 날 믿고 따라 준 사람 고마워요 행복합니다 왜 눈물 왜 눈물,트로트
