data,label
it s been while years in the making livin young and wild homie another round glencairn glass clink more or less 시간 지났지 내 열정 얼마 안 남았지 am I losin 아냐 it must be an angel s share angel s share 과일 주스 그래 맞아 과일 주스 과즙 가득하던 내 youth cooking Cous Cous 좁쌀 내 분수 독한 독수 spirit 내 대는 알싸한 알코올 booze 블루투스 무슨 긴 헤드폰 줄 CD Player 숙성해 내 꿈 참아 숨 block 해 air 뚜 따의 날 보며 참을 인 번 triple wood 발 푹 담가 셰리 버번 it feels good homie 이제 마지막 캐스 크 CS 배치 번 기대 안고 오크 통 열었네 oh god damn 천사 들고 튄 내 생명 물 내 열정 got nowhere it s been while years in the making livin young and wild homie another round glencairn glass clink more or less 시간 지났지 내 열정 얼마 안 남았지 am I losin 아냐 it must be an angel s share angel s share bring your own bottle now is the time 확인 해 내 커리어 I don t give a shit I don t give a shit 상관없다 말 했지만 호불호 갈리는 피트 향 몇번 걸친 블라인드 테스트 무장 된 내 강한 멘탈 bullet proof vest 씬 마스터 디스틸러 못 먹어 본 맛 돌이 찐해 레그 프로 익 아드백 run forrest run forrest 오픈 런 줄 세워 NAS 들 관 다른 NFC natural color Non Chill Filtered it must be god s work angel s share it s been while years in the making livin young and wild homie another round glencairn glass clink more or less 시간 지났지 내 열정 얼마 안 남았지 am I losin 아냐 it must be an angel s share angel s share,힙합
Cos you fill this white space now it s our villa we can make the wall fight the wall Now it all depends on you when this dream is over let s build our real palace and then name it by your love Think we are in the pool so wide Let s breathe before dive 이런 부피 큐브 라면 사치 일까 아냐 너 평수 만큼 커다랗다니까 별 수가 있나 외려 모 잘라 시소 놓을까봐 니 쪽 좀 더한 기복 그 위아래 이상 못 떠나고 본 삼아 타투 더할까 중요한 건 너 원하면 손가락 떠가는 평화 바다 코앞 기분 모양 뭉게 높다 시간 초월 이 컷 oh my I bet this is directed by R Curtis 콘월 일어나 이건 꿈 그치만 이뤘다 그 이유 네 이런 기분 더할수록 가 우리 행복했다는 멋진 물리 Cos you fill this white space now it s our villa we can make the wall fight the wall Now it all depends on you when this dream is over let s build our real palace and then name it by your love,힙합
I just damnping huh 생각 멀리 huh We can running yeah We have a moving hey I just damnping huh 생각 멀리 huh We can running yeah We have a moving hey bounce like a do it 힙합 그 찌질 유튜브 독자 따리 Ay o my god 마치 새로운 청바지 뉴진스 올라가 난 미운 오리 새끼 삐 딱하게 난 GD 아무렇지 않지 난 슬리피 Im a 마피아 like a itzy 어차피 비슷하지 STAYC Poppy 프로 미스 나인 fromis like a do it 삐 딱하게 like GD Peace on my fit I feel like 블라세 머리 삭 악당 새끼 때리지 pop it I just shoot like 손흥민 형 까지마 군대 난군 필 특급 만기 전역 내 경력 줄 박아 버려 ok 요 다시 랩 하시게 젠 내 취미 난해 가볍게 내 feel 길 믿어내 힘 키우는 근육 배신 안해 음 i m young dumb stupids allday 쇠질 on my leg 음 뼈 뿌러져 점점 더 강해져 antifragile 누구 덤벼 난 절대 안져 이제 날 소개 할 때 say 강적 힘들수록 단단해져 i just damping allday work out muscle pumping everyday I just damnping huh 생각 멀리 huh We can running yeah We have a moving hey I just damnping huh 생각 멀리 huh We can running yeah We have a moving hey,힙합
On god I m living my life to the fullest I ain t tryna change 좋은 거만 대도 Said my shit won t last Said I wouldn t be shit But I still got it on me 반대 Never switched my lanes Chasing after one thing So Love or hate me b 연락 마 Ima pass it Talk money first Ima cash it On god I m living my life to the fullest I ain t tryna change 좋은 거만 대도 Said my shit won t last Said I wouldn t be shit But I still got it on me 반대 Never switched my lanes Chasing after one thing So Love or hate me b 연락 마 Ima pass it Talk money first Ima cash it I ve been dashin Staying blessed On same shit 어떻게 배신 해 Y all just not passionate uh I could do this forever Ain t no stopping it uh Reppin the set Until I stand all of above Rolldice I m dicing all in Counting my blessings and lucks Building my habits say none Give me a loop and I m done Me and my brothers we started for fun But it s just starting to function Know my direction now I m looking thru my options Fuck the opposition Ima stay in my position Fuck yo decisions I ain t letting you get involved With Negativities Duck all the opps Ima be doing my thing man Aiming for the bigger things Keep talking about the past Ima leave you in it Keep talking about the past Ima leave you in it On god I m living my life to the fullest I ain t tryna change 좋은 거만 대도 Said my shit won t last Said I wouldn t be shit But I still got it on me 반대 Never switched my lanes Chasing after one thing So Love or hate me b 연락 마 Ima pass it Talk money first Ima cash it,힙합
What the f * ck your saying ** 나 해서 하냬 Co ** ine 안 해도 너 해 No Cap 혓바닥 AK 조준 해 a Aim Yeah 섞지 마 Talking 내 등장 하니까 넋 갔나 보지 Hold up 보기 * 만 집 래퍼 만들어 * 달린 키티 Hold up What the f * ck your saying 나 해서 하네 Cocaine 안 해도 ** 나 해 No Cap 혓바닥 AK 조준 해 a Aim Yeah 섞지 마 Talking 내 등장 하니까 넋 갔나 보지 Hold up 보기 * 만 집 래퍼 뱃기 * 달린 키티 Uh an Glock Per Per Per 총 없지만 외쳐 난 Glock yeah 신경 안 써 Gossip Shot Shot Shot 떠들 때 난 들이켜 샷 올라가지 Top 위 Top 쟤 한 적 없어 ** 남 탓 배 아파서 눈물 주르륵 Pow 약해 빠진 B * tch 들 Glock Glock Glock Yeah CHIO let s go 내려 새깅 짭 클 패딩 뻔하지 팬티 켈빈 Grrt 얘 Triping Stoping * 도 안 멋져 전부 P * ssy 짜치는 *** 바로 갖다 패 내 볼 때 너 흰 쥐방울 같은 계집 사는 거 같아 like GTA 절대 나 쫄 않아 CHIO No Cappin 그래 하지 않아 나 No Cappin 하잖아 너희 뺀질 난 지킨다고 내 사람 의리 영웅본색 입 물어 like 성냥개비 uh 마셔 마치 믹서기 이 기분 마치 베테 유아인 yeah 래퍼 하는 거 보니 사라져 버렸지 내 맷돌 어이 What the f * ck your saying ** 나 해서 하냬 Cocaine 안 해도 너 해 No Cap 혓바닥 AK 조준 해 a Aim Yeah 섞지 마 Talking 내 등장 하니까 넋 갔나 보지 Hold up 보기 * 만 집 래퍼 만들어 * 달린 키티 Hold up What the f * ck your saying 나 해서 하네 Cocaine 안 해도 ** 나 해 No Cap 혓바닥 AK 조준 해 a Aim Yeah 섞지 마 Talking 내 등장 하니까 넋 갔나 보지 Hold up 보기 * 만 집 래퍼 뱃기 * 달린 키티 D E E P B I G D I C K I some wanna 아이스크림 흘러 쓰나미 네 남자 위 하지 난 트월킹 하자 하냐 난 아냐 Ash B 나 가식 떨었음 벌써 며느리 네 떴잖아 ** 난 수진 한텐 안 당해 헌팅 Damn uh 쉿 uh huh She a Eat enough Big enough 나 비교 하면 너 Beginner 뭐 안 봐도 알잖아 비디오 넌 노래방 가 불러라 IndiGO 매일 난 Boogie on but I m not 빈지노 Shit She could be a winner with all enough Hey B * tches What the f * ck your saying ** 나 해서 하냬 Cocaine 안 해도 너 해 No Cap 혓바닥 AK 조준 해 a Aim Yeah 섞지 마 Talking 내 등장 하니까 넋 갔나 보지 Hold up 보기 * 만 집 래퍼 만들어 * 달린 키티 Hold up What the f * ck your saying 나 해서 하네 Cocaine 안 해도 ** 나 해 No Cap 혓바닥 AK 조준 해 a Aim Yeah 섞지 마 Talking 내 등장 하니까 넋 갔나 보지 Hold up 보기 * 만 집 래퍼 뱃기 * 달린 키티 Grra Grra WHAT She a um uh Brrr Brrr hahaha She a um uh You feel me CHIO in the building PERIOD,힙합
이제 올라 타 말띠 고개 위 Riding 몇 년 전 꿈 못 꿀 상황 잔치 시동 걸어 Ye Ye 액셀 밟아 Ye Ye Skid Mark Ye Ye Skrr Skrr Skrr 다시 우린 차 올라탔어 시간 쫓아 계속 달려 버려 엔진 소리 위로 소리 내질러 다이아 박힌 시계 우릴 보고 있어 시동 걸었어 Ridin 우리 셋 달리 뭉치 당연히 Mobbin 사랑 싣고서 가지 조금 더 바삐 움직여 잔치 벌일 때 Runnin Up 벗어 나 상식 그 위 깔지 노래 하지 Hummingbird 형 K 날 싣고 하지 비행 널 데리러 가고있어 바로 준비 해 여전히 바보 처럼 살아도 난폭 운전 안 해 방도 비켜 지나 가 남겨 Skid Mark 뒤 후회 해 더 가야 해 나답 수 많은 눈빛 가라 해 나 더 밟아 세게 들이 박아 그래 할 만해 죽거나 살거나 후진 기어 빼고 갈거야 Go Away 이제 올라 타 말띠 고개 위 Riding 몇 년 전 꿈 못 꿀 상황 잔치 시동 걸어 Ye Ye 액셀 밟아 Ye Ye Skid Mark Ye Ye Skrr Skrr Skrr 다시 우린 차 올라탔어 시간 쫓아 계속 달려 버려 엔진 소리 위로 소리 내질러 다이아 박힌 시계 우릴 보고 있어 액셀 밟아 파란 색깔 소나타 Tint Up 짙게 얼굴 안 보이 마치 너 같아 웃으겟 소리 하지 마 내 기분 꽤 달라 oh e oh 비슷해 oh oh e oh 해 더 더 단단히 Setting 죽어 불려 belly 쟤 더 꽉 매라 해 보여 내 built in chilln 더 채워 내 feelin 타 타 타 타 타 J HALL We on it and brun it 우린 소음공해 범인 좋은 음악 원인 순간 예술 된 거리 그 안 숨셨지만 피난 가듯 오른 with my car 떠난거지 떠나자 하면 핍박 같던 내 그때 뱉을 line 자연 합작 우린 떴지 물수제비 달려 봤지 이제 찍어도 되는 네비게이션 시선 앞 고정 중심 뻔하지 with my J HALL 덤벙대던 시절 액셀 밟아 도착 곳 있어 더 가야 해 나답 수 많은 눈빛 가라 해 나 더 밟아 세게 들이 박아 그래 할 만해 죽거나 살거나 후진 기어 빼고 갈거야 Go Away 이제 올라 타 말띠 고개 위 Riding 몇 년 전 꿈 못 꿀 상황 잔치 시동 걸어 Ye Ye 액셀 밟아 Ye Ye Skid Mark Ye Ye Skrr Skrr Skrr 다시 우린 차 올라탔어 시간 쫓아 계속 달려 버려 엔진 소리 위로 소리 내질러 다이아 박힌 시계 우릴 보고 있어,힙합
늘 한번 놀래 너 얇은 팔 다리는 부러질까 걱정 돼 조심해 so sick 한 너 아플까 나 아빠 아니지만 부 애 watch out 넘치게 만드는 걸 넌 알려나 한보 뒤 구경해 나 미션 위험한 걸 전부 추려내 매번 꼬이는 불청객 들의 시선 좀 지키긴 임파 블 넌 어디 튈지 몰라 날 농락 하는 적당한 삐 선 왜 힘들어도 끌리는가 i don t know 좋아 그냥 마침 나도 따분한 찰나 된거지 뭐 깔끔한 척 버려 사랑 한순간 넌 날 시험 하는듯 해 뻔한 애 다르게 이런 기분 난 너 처음 너 오늘 밤 속 꿈 있고 싶어 모두 예상 콜라보 놀라 그럼 오늘 be my girl baby 맞 잡아 손바닥 콧노래 따라 따따 어디 갈까 지구 밖 가능해 이제 be my girl baby 널 보면 고장 순간 너 닮아가 막 낯설다가도 설레는 순간 일단 너 난 우리 서로 달라 분명 마음 같단 걸 알 둬 너 맞는 부분 내 더 배워 갈게 너 꽉찬 메모장 용량 터질듯 해 덕분 요즘 들어 주위 사람 얼굴 색 폈단 얘기 곤해 나도 가끔 내 어색해 처음 공감 했지만 봐 become ma baby 이 말 놀라 난 심장 뛰잖아 왜 믿 겨 나도 당장 터지기 직전 겨우 진정 시킨다음 차분하게 전화 걸어 지금 니 집앞 서로 티키타카 대화 어가 함부로 말 할 비밀 넌 날 시험 하는듯 해 뻔한 애 다르게 이런 기분 난 너 처음 너 오늘 밤 속 꿈 있고 싶어 모두 예상 콜라보 놀라 그럼 오늘 be my girl baby 맞 잡아 손바닥 콧노래 따라 따따 어디 갈까 지구 밖 가능해 이제 be my girl baby 널 보면 고장 순간 너 닮아가 막 낯설다가도 설레는 순간,힙합
나리타 도쿄 타 기차 창밖 짱구 집 같아 전부 죽어있던 낭만 눈 떠 꿈 꾸는 듯 해 안 믿 겨 사람 각기 다른 색깔 가진 채 거릴 걷지 전부 바삐 돌아가는 도심 속 미니게임 한국 다른 그림 찾기 Hey 구글맵 please navigate 맛집 뭐 재밌어 translate 파파 너 있다면 난 무서울 게 없지 하나 또 아이폰 들어 멋진 이 도실 담아 둬 왜 누군가 싫어하는 걸까 리도 아름다운 걸 같은 사람 사는 곳 난 이 도시 vibe ride 올라타 박자 타며 걸어가 주변 전부 둘러봐 Look a round 여기 서있어 눈 비벼 봐도 좀 멀리 떠났어 날개 필요한 정도 매일 밤 나를 괴롭히던 많은 걱정 여기 없어 떨쳐 봐 구경 하기에도 바빠 멀리 떠났어 난 찾지 말아줘 날 것 좀 봐 꿈 아니야 현실 맛있는거 먹자 멀리 떠났어 난 찾지 말아줘 날 것 좀 봐 꿈 아니야 어릴 적 내 꿈 세계 여행가 옆집 들려야지 이제 나 바빠 방 처 박혀 보내던 하루 이제 다음 고민 하지 다음 해 어떤 도시 향 해 걸어갈래 시부야 사람 많네 걷기 다이칸야마 좋을 것 같아 여긴 전 만났던 애 왔었던 것 같아 이런 생각 지우고 가자 자유 느끼고 있어 나 아무 내게 관심 없는 이 도시 다른 핑계 쌓은 고민 치운 다음 그냥 바라보자 새로운 세계 하늘 낭만 춤추는 밤 위 날 비추는 달 오늘 날씨 참 좋아 한잔 해 하이 볼 tonight 난 여기 서있어 눈 비벼 봐도 좀 멀리 떠났어 날개 필요한 정도 매일 밤 나를 괴롭히던 많은 걱정 여기 없어 떨쳐 봐 구경 하기에도 바빠 멀리 떠났어 난 찾지 말아줘 날 것 좀 봐 꿈 아니야 현실 맛있는거 먹자 멀리 떠났어 난 찾지 말아줘 날 것 좀 봐 꿈 아니야,힙합
너 떠나갔네 너 이 맘 가져가 나 모든 부서 저 버렸어 다시 누구 사랑 할 수 없는 내 맘 이제 텅빈 날 갈수록 니 생각 지옥 지 새우던 밤 많은 것 줬지만 네 없인 아무 의미 없는걸 널 붙잡을 용기 조차 멀어져만 가는걸 그래 너 잘 지내 난 좀 론데 사진 속 네 모습 행복해 보이던데 난 WOO WOO WOO WOO WOO WOO 생각 해 왜 우리 헤어져야만 하는지 모르겠어 난 절대 널 잊지를 해 안녕했다가 이별 너 뭐 빨러 매일 걷던 발자국 장면 그 해 우리 나눈 추억 이야기 속 살어 너 잊으면 잊혀질 계절 우린 없을거라고 믿었던 끝 기억 남겠죠 니 얘기 아닐거야 뭐 맞으면 어떡할래 너 역시 지내는 널 잡 순 있겠냐고 더 시간 지나면 나 괜찮을수 있을까 아니 더욱 더욱 아파하면서 지낼거 같아 여전히 똑같 애 가끔 보는 너 인스타그램 사진 찍 때 왼쪽 눈 살짝 감는게 변한것도 없어 왜 이제 난 싫어해 디카 페인 오늘 따라 더 파란 하늘 눈물 흘러 왜 우리 처음 커플 티셔츠 불꺼진 방 껴안고 쉿 타투 love 나눴던 kiss uhuhuh 췄던 춤 웃고 있는 얼굴 젠 봐 어떡해 잘 지내니 왜 너 그래 너 잘 지내 난 좀 론데 사진 속 네 모습 행복해 보이던데 난 WOO WOO WOO WOO WOO WOO 생각 해 왜 우리 헤어져야만 하는지 모르겠어 난 절대 널 잊지를 해,힙합
내겐 필요해 나 place I just wanna pains get away but I cannot feel me again hold on yeah I m gonna hide in the rain run through the rain 난 달려 always beside 날 가려줘 oh no I stayed up all night don t forget bout me I m drown you ll never know you ll never know 나 대한 것 you ll never know 난 늘 바라봤지 in my all time 모르지 넌 절대 in your whole life 변해 버린 것 난 매일 봐 날 기다려 주는 건 뿐 오직 raindrop 우린 보겠지 같은 방울 same time how could I live front of deadline wash away I don t wanna be hurt again I don t wanna feel all this pain I don t wanna live all all day 내겐 필요해 나 place I just wanna pains get away but I cannot feel me again hold on yeah I m gonna hide in the rain run through the rain 난 달려 always beside 날 가려줘 oh no I stayed up all night don t forget bout me I m drown go forget bout me 날 알잖아 why go forget bout me I m fine 발밑 날 비추는 street light 다신 안 올 듯 this time I saw you in the rainbow 우린 걷지 다른 rail 로 너 뒤 비친 halo I can t see you 난 널 내일 I wonder why 몰려오는 thunder it s gon change 너 눈 닮은 color won t back home tonight I m gone won t back home tonight I m done I gave you my day alright 내게 남은 건 너 내겐 필요해 나 place I just wanna pains get away but I cannot feel me again hold on yeah I m gonna hide in the rain run through the rain 난 달려 always beside 날 가려줘 oh no I stayed up all night don t forget bout me I m drown,힙합
